Equipo,Municipio,Sección,Sexo,Edad,Ocupación,"31. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos votaría?","32. Si el día de hoy fueran las elecciones para elegir la presidencia municipal, ¿por cuál de los siguientes partidos NUNCA votaría?","33. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos votaría?","34. Si el día de hoy fueran las elecciones para elegir la diputación por el distrito 12, ¿por cuál de los siguientes partidos NUNCA votaría?",_Capturar ubicación GPS_latitude,_Capturar ubicación GPS_longitude,_id,_submitted_by
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Mujer,42,Cuidado del hogar,MORENA,PAN,,,20.5410005,-103.3667525,115753,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Hombre,60,Trabajador/a,MOVIMIENTO CIUDADANO,PRI,,,20.5409579,-103.3661181,115754,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3447,Mujer,21,Estudiante,MORENA,PAN,,,20.5412048,-103.365933,115755,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,37,Cuidado del hogar,Aún no decide,PARTIDO VERDE,,,20.5430263,-103.3659668,115756,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Hombre,23,Estudiante,Aún no decide,PRI,,,20.5429154,-103.3664799,115757,user82
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,29,Cuidado del hogar,PRI,PARTIDO DEL TRABAJO,,,20.5430267,-103.3659676,115758,user82
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,43,Cuidado del hogar,MOVIMIENTO CIUDADANO,Aún no decide,,,20.5376747,-103.4713191,115759,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,41,Cuidado del hogar,MORENA,PAN,,,20.537805,-103.4709647,115760,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,30,Trabajador/a,MOVIMIENTO CIUDADANO,PARTIDO VERDE,,,20.5376994,-103.4708185,115761,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,60,Trabajador/a,MORENA,PRI,,,20.5374957,-103.4711041,115762,user91
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Hombre,81,Trabajador/a,MORENA,PRI,,,20.5378723,-103.4712116,115763,user91
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,47,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.543454,-103.3671102,115764,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,57,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5437754,-103.367658,115765,user83
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Hombre,20,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5440178,-103.36837,115766,user83
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Hombre,21,Trabajador/a,MORENA,PAN,,,20.5373844,-103.4708589,115767,user144
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,71,Cuidado del hogar,MORENA,No contestó,,,20.543485,-103.3673219,115768,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Hombre,62,Jubilado/a – pensionado/a,Ninguno,Ninguno,,,20.5373012,-103.4707139,115769,user144
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Hombre,52,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5374139,-103.4712247,115770,user144
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,39,Trabajador/a,Ninguno,MORENA,,,20.5435823,-103.3675896,115771,user141
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Hombre,64,Jubilado/a – pensionado/a,MORENA,PAN,,,20.5440197,-103.36569,115772,user141
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,25,Trabajador/a,Ninguno,Ninguno,,,20.5377261,-103.4712325,115773,user140
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,35,Cuidado del hogar,MOVIMIENTO CIUDADANO,PRI,,,20.5371394,-103.470887,115774,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Mujer,65,Cuidado del hogar,Aún no decide,Aún no decide,,,20.5373713,-103.4703856,115775,user138
EQUIPO 2,TLAJOMULCO DE ZUÑIGA,3577,Hombre,63,Trabajador/a,Ninguno,Ninguno,,,20.5371689,-103.4702539,115776,user138
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,62,Cuidado del hogar,MOVIMIENTO CIUDADANO,MORENA,,,20.5435199,-103.3668928,115777,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Mujer,60,Cuidado del hogar,Aún no decide,MORENA,,,20.543746,-103.3669086,115778,user193
EQUIPO 3,TLAJOMULCO DE ZUÑIGA,3446,Hombre,47,Trabajador/a,MOVIMIENTO CIUDADANO,MORENA,,,20.5437859,-103.3671941,115779,user193
